model,checkpoint_epoch,macro_roc_auc,micro_roc_auc,macro_average_precision,micro_average_precision
resnet18_unweighted,4,0.8215689044538304,0.8697985616130552,0.22962851078785101,0.31636466183843703
resnet18_weighted,2,0.8199081956464218,0.8506985349940676,0.2219695626001502,0.26047108417513515
