model,epoch,train_loss,val_loss,macro_roc_auc,micro_roc_auc,macro_average_precision,micro_average_precision
resnet18_unweighted,1,0.16131383180694234,0.15330985875168757,0.7961577850757664,0.8588922609018276,0.19537068890619333,0.28827490404643846
resnet18_unweighted,2,0.14956016501413694,0.14871342846874328,0.8205300872849397,0.871672173012299,0.22033622034208983,0.31453858745792546
resnet18_unweighted,3,0.1448586074189187,0.14736491526633586,0.8213945028650471,0.8743144484589812,0.2252210795921676,0.3245094956073931
resnet18_unweighted,4,0.1403726400752437,0.14960444146008403,0.8218547735401956,0.8710920346740185,0.22892235853633847,0.31894382504270075
resnet18_unweighted,5,0.13521978833943332,0.1497390043425594,0.8195369536579067,0.8712825924463556,0.22688687672445318,0.3162308145676628
resnet18_unweighted,6,0.12856393021424126,0.15297781230823437,0.8206497243395262,0.8704875156284042,0.24424987711872032,0.30937443303536205
resnet18_weighted,1,0.8197386477640037,0.7818531583771746,0.804347575990293,0.830698784735534,0.19810604709103408,0.2134176447193942
resnet18_weighted,2,0.7582215053894226,0.745241349706283,0.8224908201615645,0.8516217156339625,0.21996367648193024,0.25725952369684957
resnet18_weighted,3,0.723511217341632,0.7478914184872582,0.8191450685573438,0.8533569684865566,0.22056320048569017,0.2680309795046647
resnet18_weighted,4,0.6921302709132281,0.7532951882124966,0.8214331492113767,0.8537669509434105,0.23804800583468286,0.27242034890830186
