fraction_percent,train_samples,n_runs_dinov2,macro_roc_auc_mean_dinov2,macro_roc_auc_std_dinov2,micro_roc_auc_mean_dinov2,micro_roc_auc_std_dinov2,macro_average_precision_mean_dinov2,macro_average_precision_std_dinov2,micro_average_precision_mean_dinov2,micro_average_precision_std_dinov2,n_runs_resnet18,macro_roc_auc_mean_resnet18,macro_roc_auc_std_resnet18,micro_roc_auc_mean_resnet18,micro_roc_auc_std_resnet18,macro_average_precision_mean_resnet18,macro_average_precision_std_resnet18,micro_average_precision_mean_resnet18,micro_average_precision_std_resnet18,macro_roc_auc_difference_resnet_minus_dinov2,micro_roc_auc_difference_resnet_minus_dinov2,macro_average_precision_difference_resnet_minus_dinov2,micro_average_precision_difference_resnet_minus_dinov2
5,3923,3,0.695314172160645,0.0055891557776539,0.8063015617055259,0.0038164109895399,0.1123055081688402,0.0041722260565397,0.1998251799791106,0.0034883668441327,3,0.7437556293991113,0.0045195476215359,0.8216668022336789,0.0095630675829957,0.1410736132827247,0.0001967152920664,0.2201130845033415,0.007313059467645,0.04844145723846638,0.015365240528153024,0.028768105113884487,0.020287904524230904
10,7847,3,0.7198463533780654,0.0042474529062077,0.8164611327946587,0.0018843590794523,0.123260604634986,0.0024459483398635,0.2134413193715864,0.0017051645940732,3,0.7663358029806518,0.0021140195984572,0.8354077045140395,0.002402527195632,0.1630456880649925,0.0023379055164078,0.2434546273297687,0.0149041591273983,0.0464894496025865,0.018946571719380745,0.0397850834300065,0.0300133079581823
25,19617,3,0.7389490862377498,0.0028233322995672,0.8236454728955834,0.0020347080690184,0.1321233382573925,0.0019855792692572,0.224003786855308,0.003371714380885,3,0.7966733768174844,0.0038093970274686,0.8545480488670075,0.00586396138113,0.1926211359101328,0.0023882426425897,0.2808735776973985,0.0096395938907981,0.057724290579734605,0.030902575971424096,0.0604977976527403,0.05686979084209051
50,39234,3,0.7517084715097915,0.0035199665067148,0.82845670535663,0.0006728934631383,0.1431678764751808,0.001977110799537,0.2321275927472993,0.0012123875080848,3,0.8127138721919013,0.001385821672012,0.8646741466128601,0.0041793463006732,0.2105187739956067,0.0045354715433578,0.3006473761042748,0.0092735355848742,0.0610054006821098,0.036217441256230165,0.06735089752042589,0.06851978335697548
100,78468,3,0.7603156202729305,0.0002708477626961,0.8329083356262078,0.0012413812528598,0.1504785540930836,6.673225711803303e-06,0.2364435009111949,0.0026912943150323,3,0.8240465879352833,0.0014316832904195,0.8737188624482602,0.000767263682028,0.2304258918749185,0.0012070090020726,0.3203074518998077,0.0006612069690126,0.06373096766235276,0.04081052682205244,0.07994733778183488,0.0838639509886128
