model,fraction_percent,train_samples,n_runs,selected_epoch_mean,selected_epoch_std,stopped_epoch_mean,stopped_epoch_std,macro_roc_auc_mean,macro_roc_auc_std,micro_roc_auc_mean,micro_roc_auc_std,macro_average_precision_mean,macro_average_precision_std,micro_average_precision_mean,micro_average_precision_std
resnet18,5,3923,3,3.0,0.0,8.0,0.0,0.7437556293991113,0.004519547621535921,0.8216668022336789,0.009563067582995733,0.1410736132827247,0.0001967152920664359,0.22011308450334152,0.0073130594676450505
resnet18,10,7847,3,3.0,0.0,8.0,0.0,0.7663358029806518,0.00211401959845727,0.8354077045140395,0.002402527195632061,0.1630456880649925,0.0023379055164078405,0.24345462732976875,0.014904159127398398
resnet18,25,19617,3,3.6666666666666665,1.1547005383792515,8.666666666666666,1.1547005383792517,0.7966733768174844,0.003809397027468622,0.8545480488670075,0.005863961381130021,0.19262113591013288,0.002388242642589721,0.2808735776973985,0.009639593890798147
resnet18,50,39234,3,3.3333333333333335,1.1547005383792515,8.333333333333334,1.1547005383792517,0.8127138721919013,0.001385821672012087,0.8646741466128601,0.0041793463006732316,0.21051877399560678,0.004535471543357883,0.3006473761042748,0.009273535584874221
resnet18,100,78468,3,4.0,0.0,9.0,0.0,0.8240465879352833,0.0014316832904195833,0.8737188624482602,0.0007672636820280914,0.23042589187491858,0.0012070090020726166,0.3203074518998077,0.000661206969012671
