model,fraction_percent,seed,train_samples,selected_epoch,stopped_epoch,train_loss,val_loss,macro_roc_auc,micro_roc_auc,macro_average_precision,micro_average_precision,atelectasis_roc_auc,atelectasis_average_precision,cardiomegaly_roc_auc,cardiomegaly_average_precision,effusion_roc_auc,effusion_average_precision,infiltration_roc_auc,infiltration_average_precision,mass_roc_auc,mass_average_precision,nodule_roc_auc,nodule_average_precision,pneumonia_roc_auc,pneumonia_average_precision,pneumothorax_roc_auc,pneumothorax_average_precision,consolidation_roc_auc,consolidation_average_precision,edema_roc_auc,edema_average_precision,emphysema_roc_auc,emphysema_average_precision,fibrosis_roc_auc,fibrosis_average_precision,pleural_roc_auc,pleural_average_precision,hernia_roc_auc,hernia_average_precision
dinov2_linear_probe,5,42,3923,178,183,0.15278834104537964,0.17031383378939194,0.6890851892730833,0.8022152757622365,0.10759854287148161,0.19580976133721545,0.7011298985126395,0.19044618788989592,0.6847428423960895,0.045358926329510975,0.7816765172134289,0.29772754670404805,0.6359079285237341,0.287707384298198,0.609185123654899,0.09537879723166726,0.6286668200676832,0.0869417947631985,0.6709702273001646,0.020507617018793067,0.7366245953973439,0.1265915931282811,0.7376020854464845,0.09853287223958274,0.8548951810509121,0.09051885474933694,0.7258528185101611,0.057340310398658514,0.6225371948301666,0.02961238759069058,0.6595458731466309,0.07496333047691839,0.597855543772829,0.004751997381962518
dinov2_linear_probe,5,47,3923,221,226,0.15178325772285461,0.16896817900917746,0.6969663054243856,0.8069158263641788,0.11376970541115945,0.20210859400982117,0.7157194807952645,0.2038172561452241,0.7071651941585451,0.0468434546916779,0.7856870635515423,0.3071801026834032,0.6418141519283733,0.29700753075923614,0.6483993203700208,0.10379144364611402,0.6018656834645907,0.0880674135939409,0.5822401484497821,0.01709862141306264,0.7762406580302054,0.16079583461016142,0.7341119074973561,0.09513386769760059,0.8405835375260913,0.0921862865618607,0.7486953605834724,0.06451451567848812,0.6756863698347175,0.03742412392283807,0.6580597826464083,0.0685749631183762,0.6412596171050278,0.01034046123424811
dinov2_linear_probe,5,52,3923,205,210,0.1505390629172325,0.16901225393468683,0.6998910217844659,0.8097735829901622,0.11554827622387971,0.2015571845902952,0.7078768614126829,0.19884386280179642,0.7104753013328475,0.05611528081963257,0.7878411786848951,0.3098686993369534,0.6451197994271533,0.2932459907380913,0.6682289597885596,0.11981806237547543,0.6088067205641549,0.09002640164770298,0.6194404240802258,0.017905762713487636,0.7731608633498508,0.1471854582990883,0.7283958078405277,0.09613623840043914,0.8084898811144385,0.07220158853736118,0.7755002864268599,0.08643738558215314,0.6776707844678271,0.03320224331598162,0.7031380263707026,0.08311409322675291,0.5843294101217985,0.013574799339399798
dinov2_linear_probe,10,42,7847,125,130,0.15754851326346397,0.16684639724818143,0.7162800660262418,0.8142951532717602,0.12208495401732175,0.2116037975605351,0.714493403763969,0.2014206450368208,0.7167125876673649,0.06104805581329747,0.7959699069460934,0.3269581801013445,0.6455275792511457,0.29790614795622666,0.6602849915046253,0.12076096740402104,0.6432971856553232,0.0998350722196433,0.6744827520723151,0.022757710337775714,0.7543302668710975,0.14602525330446323,0.7497021858808692,0.10035014260773553,0.8593307015155641,0.10601271656980932,0.7593494791921365,0.08479439407801262,0.6696914319723479,0.04063649030238114,0.6951272885521095,0.09363074551728426,0.6896211635224243,0.007052834993688997
dinov2_linear_probe,10,47,7847,161,166,0.15560209937393665,0.166166058995507,0.724545324909599,0.8177235902972281,0.12607240105428033,0.21497263353056345,0.725995540572824,0.20999478330168064,0.7412829796277742,0.0600256573002438,0.7977453288261274,0.3268220910221995,0.6552980032225997,0.30257046652421304,0.6913976968095148,0.1238648085766553,0.624400174852549,0.09710603977657165,0.6400404764391585,0.024178970238052416,0.7840506929167684,0.1774176639366505,0.7547822634039199,0.10313020594239021,0.8601433886922589,0.10325818936291672,0.7720810657873595,0.08780835981753865,0.7019077849441737,0.04742189285794993,0.685559953646566,0.08859505512883098,0.7089491989927952,0.01281943097403149
dinov2_linear_probe,10,52,7847,125,130,0.15616215765476227,0.16656047376719388,0.7187136691983552,0.8173646548149879,0.12162445883335603,0.21374752702366084,0.7266455640202091,0.2120120846137406,0.7353584115128883,0.06848803726584617,0.7947927377596391,0.318968276138423,0.6507150244043152,0.2947108914529948,0.6828416084576175,0.1298447885301334,0.6336056970430416,0.09792394898815177,0.606622319826266,0.018546027148615238,0.7815764134242903,0.15225415925647293,0.751897786206845,0.10313304799957905,0.8213517560577185,0.07840690087713029,0.7592477452617312,0.08337884393154589,0.689726334997095,0.04033739152614477,0.7209998602259582,0.0930466332096247,0.7066101095793567,0.01169139272858191
dinov2_linear_probe,25,42,19617,83,88,0.1596311315894127,0.16458610377528451,0.7370429950947412,0.8232381251872839,0.1327574468474398,0.22669334263930344,0.7318405754784594,0.22057424964355096,0.7387207016425297,0.07341893005316473,0.8060469913339515,0.3410433519630829,0.6581477225565497,0.3101467443102589,0.6861585803284879,0.1329839140695673,0.6579601592130282,0.11146109435964408,0.6826038124356535,0.024510123161601942,0.7778948070128657,0.1747191824541707,0.7580671489843167,0.10367425855148571,0.8694373355113896,0.10621242106361453,0.7641776929364342,0.09377896736360775,0.6977378436209327,0.04993501759193673,0.7328796624803846,0.10470216348325381,0.7569288977913934,0.011443837795216837
dinov2_linear_probe,25,47,19617,69,74,0.1607258938252926,0.16503251953558487,0.7376116476487133,0.821845253586529,0.12989815536174332,0.22022114614316438,0.7323473044355375,0.22048638805909715,0.7378855846009049,0.05953388126797412,0.8059214619664729,0.33201657817561436,0.6631252861837206,0.3098473906304493,0.7011383047007741,0.1352342916358922,0.6314086581543459,0.10022519738512473,0.660831448999551,0.02521983475428722,0.793352850550704,0.18753212408519818,0.7653551838347991,0.10641875723929842,0.8661933932298757,0.10548290639161279,0.7656709549192067,0.08870367492208114,0.7049152004743846,0.04398831435359865,0.7095071626761673,0.0911088469101198,0.7889102723555416,0.012775989254058413
dinov2_linear_probe,25,52,19617,75,80,0.1598452351987362,0.16391416029496628,0.7421926159697948,0.8258530399129372,0.13371441256299443,0.2250968717834562,0.7353903768392925,0.22198024872138689,0.7595037495825364,0.08156723199769433,0.80766885415234,0.3390527284132641,0.6608154583964405,0.30261748726162224,0.7083576363979611,0.1400487670789265,0.6553130688129684,0.10680615150971327,0.6620000298418787,0.023488745532277505,0.797975875682362,0.18527166606851148,0.7714795837414259,0.11528302631659608,0.8624444141936655,0.09893463403415993,0.7734258748244762,0.09611678062270965,0.706975917784955,0.045254800193152415,0.7238525889423864,0.09529558465916428,0.7654931943844399,0.02028392347274351
dinov2_linear_probe,50,42,39234,73,78,0.15937816141507563,0.16261473027142612,0.7499628424883706,0.8292281923261979,0.14285194414130306,0.2326742158603896,0.739809987701183,0.2304341012993701,0.760000151804961,0.08731681180793487,0.810611231338617,0.35140709978225015,0.6651421038498314,0.3134080350826066,0.7064135925995846,0.14383419582556667,0.668296578101164,0.1191723869751006,0.6916160598139766,0.026680986182920363,0.7975878459954521,0.19943005435395322,0.766155896761095,0.10646827103435119,0.8747599600689718,0.10955666936960745,0.7762128605660075,0.11288815112886613,0.7201201440158534,0.05349400245241841,0.7448097734768347,0.1136294919212379,0.777943608743656,0.03220696076205888
dinov2_linear_probe,50,47,39234,89,94,0.15894673535457024,0.1629352786324241,0.7494024892830439,0.8281509087578036,0.141367755007729,0.23073813341875593,0.7401546642599919,0.23141798922325654,0.7604760603576524,0.07749741329223471,0.8132930376266873,0.3516537822870249,0.6670243054332547,0.3102669168613441,0.7099727392863886,0.14453474583668802,0.6656464114775134,0.11516507133288888,0.6822965767295742,0.02764385222466848,0.8042624936115369,0.21201932752295552,0.7752554264889253,0.11460787666262322,0.8738515291768763,0.10944865483777239,0.7698466306420854,0.10146273615965466,0.7169764737044624,0.05165268771745806,0.7295901398830855,0.10826544137565286,0.782988361284579,0.023512074773983236
dinov2_linear_probe,50,52,39234,85,90,0.15896951655546823,0.16288208148696207,0.75576008275796,0.8279910149858881,0.14528393027651054,0.2329704289627526,0.741839513710084,0.23435035175222843,0.7733096517594195,0.08779026203194379,0.8120745451080816,0.3515099522063409,0.6642750028571247,0.3114702259769666,0.7124323956956767,0.14820563241003834,0.6657237785008271,0.11970865046401394,0.6905410739549577,0.028571799916340863,0.804944300009629,0.21451380334825637,0.7740660391386734,0.11704709620910511,0.8686641256012342,0.10875007308081021,0.7763840180798223,0.10801671653348963,0.7229765892485166,0.04826025501346895,0.7429286478298842,0.10941240104398013,0.8304814771175087,0.04636780388416451
dinov2_linear_probe,100,42,78468,62,67,0.15976451646972012,0.1619840223680843,0.7600145797287039,0.8318528218376452,0.15047652533530892,0.23485884551587002,0.7446741255895026,0.23581143960827788,0.7713845750979142,0.0957493652676948,0.8163726004788517,0.3578116095450069,0.668416083312356,0.31540607259907605,0.7167010760808005,0.1541748176742908,0.6764819476432897,0.12592012644088707,0.7138740320040584,0.030030075403965795,0.8082035271722625,0.21909806496401707,0.7796127751873073,0.11817750166224782,0.8780737816498776,0.10760089492174453,0.7884691794219767,0.12292680720123182,0.7311486060045846,0.05731753283238799,0.7518897995679892,0.11441245360201877,0.7949020069910844,0.05223459297147823
dinov2_linear_probe,100,47,78468,66,71,0.1595625693534876,0.16190305758606305,0.7605395534431361,0.8325961845513831,0.15048600625480515,0.23492072266124367,0.7452063812279351,0.2367337153531543,0.7717428348058416,0.09222756666733366,0.8167421714116769,0.3588114989215725,0.6692613182800292,0.3151383651715229,0.713267736454597,0.15346881730576872,0.671996967458784,0.12319078828865333,0.7113568017102108,0.029685040831847514,0.812008829041027,0.22910133388826046,0.7820297631360117,0.11924482756019913,0.878253017515201,0.10921238599282192,0.7886687176459904,0.12192593085428713,0.7328190896218548,0.06003515423203334,0.7493220711142569,0.11636414938465939,0.8048780487804879,0.041664513115157675
dinov2_linear_probe,100,52,78468,57,62,0.15981272772535102,0.16128148680383508,0.7603927276469516,0.8342760004895949,0.15047313068913692,0.2395509345564711,0.7433085587379114,0.23348179568595545,0.7755760998269424,0.09447322983139361,0.8151090421376357,0.35636379547648994,0.6685667757705915,0.31616771186637377,0.7165209741363036,0.15283675248785253,0.6748807732641716,0.12244652805503213,0.6981738126662498,0.028090359272341745,0.8104576361575895,0.22163582422276057,0.7807732949207117,0.11925829172989998,0.8779580724203648,0.10669857950334515,0.7903643559237965,0.126440206891008,0.7320457074838757,0.05680086678872756,0.7547052304239514,0.11811090514849805,0.8070578531872277,0.0538189826882384
