fraction_percent,class_name,dinov2_roc_auc_mean,dinov2_roc_auc_std,resnet18_roc_auc_mean,resnet18_roc_auc_std,roc_auc_gap_mean,roc_auc_gap_std,resnet18_roc_auc_wins,dinov2_roc_auc_wins,dinov2_ap_mean,dinov2_ap_std,resnet18_ap_mean,resnet18_ap_std,ap_gap_mean,ap_gap_std,resnet18_ap_wins,dinov2_ap_wins
5,atelectasis,0.7082420802401956,0.007301644772881547,0.7401504909204059,0.007840687996160145,0.031908410680210185,0.0015725348464899435,3,0,0.19770243561230547,0.006758217856346697,0.24218445162591354,0.0054154062509301736,0.04448201601360807,0.00542612426021454,3,0
5,cardiomegaly,0.7007944459624941,0.013999274451417115,0.8159045425104492,0.012655750836263737,0.11511009654795519,0.011146206576824875,3,0,0.049439220613607095,0.005829090067958846,0.13304035758175728,0.03340181651216732,0.0836011369681502,0.029423588989299206,3,0
5,effusion,0.7850682531499554,0.0031285711593759626,0.8146301333064706,0.012099262766809893,0.029561880156515136,0.009549236147867344,3,0,0.30492544957480155,0.006376871669868516,0.3546877472058882,0.009707231550454127,0.04976229763108667,0.0037594124885509126,3,0
5,infiltration,0.6409472932930869,0.004666714508676631,0.6343678638081992,0.013958780063753897,-0.006579429484887767,0.018145555078038857,1,2,0.2926536352651751,0.004678284386814276,0.27515632188008665,0.009162623423659458,-0.017497313385088475,0.012685363209910592,0,3
5,mass,0.6419378012711597,0.030047580071336035,0.7267750298911334,0.02408551147283456,0.0848372286199736,0.011531337809803152,3,0,0.10632943441775221,0.01241573469674792,0.16784097411989032,0.01690494647252408,0.06151153970213813,0.01378723209598918,3,0
5,nodule,0.6131130746988096,0.013909843466200437,0.6386943604720855,0.013739594042047004,0.025581285773275935,0.019885847246830717,3,0,0.08834520333494744,0.001560953318693211,0.11089025894512412,0.00824386847698172,0.022545055610176706,0.006721643849290877,3,0
5,pneumonia,0.6242169332767242,0.04455746854655177,0.6784103502487048,0.02588098241078936,0.05419341697198069,0.0304746226831314,3,0,0.018504000381781068,0.0017814962786366405,0.0269943984177921,0.0049959999186712616,0.008490398036011034,0.005091228923815041,3,0
5,pneumothorax,0.7620087055924666,0.022037152075912322,0.8161479358166245,0.017468557469244368,0.05413923022415782,0.039487553828038466,3,0,0.14485762867917693,0.017220529227994056,0.21381075996925944,0.023188126961729432,0.0689531312900825,0.02960984563781761,3,0
5,consolidation,0.7333699335947895,0.00464777159438295,0.7625228691060565,0.002746538711448293,0.029152935511267002,0.004352138324944782,3,0,0.09660099277920743,0.0017465123656997532,0.10520575129615556,0.005617038385243027,0.008604758516948132,0.004782636640563084,3,0
5,edema,0.8346561998971472,0.023763690034885994,0.8624711105060955,0.006242509815613977,0.02781491060894818,0.02998616538759479,3,0,0.08496890994951956,0.011088212400715192,0.10770591004422585,0.015761760480531867,0.022737000094706267,0.012452519947458541,3,0
5,emphysema,0.750016155173498,0.02485007326743097,0.787494847809533,0.014984832032130638,0.037478692636035316,0.03499077131255633,2,1,0.06943073721976656,0.015158722628924974,0.0894940627119008,0.022431857319845632,0.020063325492134233,0.03455643399089775,2,1
5,fibrosis,0.6586314497109037,0.03127428499431665,0.7002672773787633,0.025362704332295292,0.04163582766785948,0.024736398838315233,3,0,0.03341291827650336,0.003910127118776504,0.041180768367919736,0.009243666211594316,0.007767850091416367,0.010470717915925224,2,1
5,pleural,0.6735812273879139,0.025607721312632326,0.7297131030399037,0.009414284573344771,0.05613187565198977,0.03205032220271718,3,0,0.07555079560734913,0.007287346055779189,0.09589324715911,0.0038621201307744517,0.020342451551760867,0.00920724140953984,3,0
5,hernia,0.6078148569998851,0.02974311780486861,0.7050288967731331,0.03225492455348667,0.09721403977324798,0.02456555141879508,3,0,0.0095557526518701,0.004463438614396157,0.010945576633121666,0.004095881058755934,0.0013898239812515664,0.002136377451500095,2,1
10,atelectasis,0.722378169452334,0.006836137805139072,0.7613512034849598,0.00536490035162227,0.03897303403262568,0.0014744105969984019,3,0,0.20780917098408067,0.005623817562832131,0.25417436534225724,0.006422002235496145,0.04636519435817656,0.0012882237856364379,3,0
10,cardiomegaly,0.7311179929360092,0.012822320482361732,0.8537651425448584,0.010359302739138548,0.12264714960884922,0.019003588113098185,3,0,0.06318725012646244,0.004618991546069878,0.19929816418001567,0.018857846631197633,0.13611091405355324,0.016591871273413075,3,0
10,effusion,0.7961693245106201,0.0014863626829471526,0.8338318772446495,0.011292141276267181,0.03766255273402963,0.010274611680924103,3,0,0.324249515753989,0.004574193805156643,0.414186771326336,0.00977213245734088,0.08993725557234705,0.006194254936830787,3,0
10,infiltration,0.6505135356260202,0.004888327366423494,0.6611320849017898,0.00356266642017054,0.010618549275769626,0.008369913707517364,3,0,0.29839583531114483,0.003952603617136905,0.30679781415074153,0.007171782377569897,0.008401978839596739,0.010087331010974462,2,1
10,mass,0.6781747655905859,0.016072792993328772,0.7423968535649109,0.02087909736770407,0.06422208797432505,0.015108503879026127,3,0,0.12482352150360325,0.0046171743978351415,0.2013148004312477,0.0040292315320282065,0.07649127892764444,0.00862597669840566,3,0
10,nodule,0.6337676858503046,0.009449546793381197,0.6581903376432251,0.012245469954233371,0.024422651792920507,0.01920798623449997,3,0,0.09828835366145554,0.0014005347526137028,0.1280806465930727,0.009494942346265528,0.02979229293161717,0.010888924562444412,3,0
10,pneumonia,0.6403818494459133,0.033931504060422384,0.7155282216003657,0.0013252408134351841,0.07514637215445248,0.03351536726484458,3,0,0.0218275692414811,0.0029293999055218923,0.0336551203189124,0.004733871009272601,0.011827551077431298,0.007352267230886017,3,0
10,pneumothorax,0.7733191244040521,0.016491302178932347,0.8340998254437358,0.012847143688833574,0.06078070103968377,0.029115722396852808,3,0,0.15856569216586222,0.016620693339168945,0.2570964391115047,0.027043487279584888,0.09853074694564253,0.03293388875998315,3,0
10,consolidation,0.7521274118305447,0.0025478113853552096,0.7706836128577058,0.0044108181371316215,0.018556201027161084,0.004226712439609518,3,0,0.10220446551656824,0.0016058913745919015,0.10311463760405888,0.00613930730527112,0.0009101720874906682,0.00748527769786494,2,1
10,edema,0.8469419487551805,0.0221654818768219,0.8693357685210396,0.003329489340543298,0.022393819765858896,0.024512206874949927,3,0,0.09589260226995207,0.015205563782135053,0.11234637076967297,0.0028542751455093718,0.016453768499720897,0.016671445885077803,3,0
10,emphysema,0.763559430080409,0.007380128304415048,0.8091234231968497,0.01510145885063611,0.045563993116440694,0.020125518729840145,3,0,0.085327199275699,0.002262313811140455,0.1190232483644806,0.010310058767865246,0.0336960490887816,0.009138411337195259,3,0
10,fibrosis,0.6871085173045389,0.01626693200345142,0.7400465882347812,0.006536170183470755,0.052938070930242276,0.021049520512784938,3,0,0.04279859156215856,0.004006688304976555,0.04929643552917947,0.006138151414583682,0.006497843967020904,0.00405709504657251,3,0
10,pleural,0.7005623674748778,0.01833444318111551,0.7325463773905739,0.013516616445225425,0.031984009915696054,0.004846829835515614,3,0,0.09175747795191326,0.0027542667592217757,0.0882450050000067,0.006633605813310394,-0.0035124729519065653,0.007116080117140237,1,2
10,hernia,0.7017268240315254,0.010548843400687208,0.7466699250996806,0.023621960298030504,0.04494310106815502,0.021660633911994607,3,0,0.010521219565434066,0.0030562045455006974,0.0160098141884077,0.0016352750435388427,0.005488594622973633,0.004226886804243154,3,0
25,atelectasis,0.7331927522510965,0.00191998930517029,0.7837856171676149,0.0029074579764923553,0.050592864916518376,0.00446377661613976,3,0,0.2210136288080116,0.0008382693225961422,0.2861639124751471,0.004516926372552815,0.0651502836671355,0.004871367239181072,3,0
25,cardiomegaly,0.7453700119419904,0.012247296023496156,0.8707896894070499,0.010275188360212966,0.12541967746505955,0.016284495944213426,3,0,0.0715066811062777,0.01114045143254385,0.22138751941288023,0.011396709372449573,0.1498808383066025,0.012999458609888107,3,0
25,effusion,0.8065457691509215,0.0009746431889842491,0.8623265238719432,0.0034111102082068877,0.055780754721021696,0.0038170445378381355,3,0,0.3373708861839871,0.004742584339330937,0.46666346966055605,0.002063422107508878,0.12929258347656894,0.006660153057440972,3,0
