epoch,train_loss,val_loss,macro_roc_auc,micro_roc_auc,macro_average_precision,micro_average_precision
1,0.21875514709330224,0.1758851259946823,0.6193570929652944,0.7769148712128292,0.08585779502287934,0.17387964113521368
2,0.17460590562263092,0.17206667228178543,0.6559586044110863,0.7925698895225983,0.09790003315177319,0.18755370076471103
3,0.1718955159961403,0.1697021871805191,0.6778656638249896,0.8023341719610609,0.10633166970027344,0.19861923872163179
4,0.17003059890363123,0.16837348179383713,0.692963642665932,0.8073280607512577,0.11202186139122634,0.2054343018172791
5,0.16875598473208292,0.16748559339479965,0.7035745898975984,0.8104485151058791,0.11620714642562659,0.21006895912624154
6,0.16778014232585955,0.16637059233405374,0.7122449884383818,0.8153730686585471,0.1200198193849449,0.21609547134912677
7,0.16692225518938783,0.16573254493149844,0.7191885494166649,0.8172080054704526,0.1227106497939786,0.21785808296018985
8,0.16629437695850025,0.16609562933444977,0.7244584901813701,0.8172853723262151,0.12482730675863,0.21526401472456794
9,0.16581299533317614,0.16485235772349618,0.7286062534839159,0.8209781225680667,0.12653989260188298,0.22251006444017998
10,0.16527651269714555,0.16487650708718735,0.7324050879518326,0.8204636988074255,0.1281904659840092,0.2226596201529309
11,0.16496700570954906,0.16452475569464944,0.7357287166846174,0.8228235783364813,0.12962692880957985,0.22195299813039127
12,0.16455124512121275,0.1640359271656383,0.7376911879830648,0.8243280299901518,0.13081457601881422,0.22575496556287167
13,0.16430034130424648,0.16377643834460864,0.739426936364849,0.8251908942377005,0.1321263802894439,0.22671498287675756
14,0.16398834930611894,0.1636831299825148,0.7415025981168639,0.8254772605643197,0.13341917045825352,0.2280107547806177
15,0.1638237934607964,0.16360969164154746,0.7432270360520554,0.825538127417607,0.13421441204876022,0.22757143984124434
16,0.16352083582382698,0.16366555203091016,0.7444497673556184,0.8254545466300571,0.13522054929908006,0.22764447405391613
17,0.16333093697374518,0.16357869858091528,0.7457555108383848,0.8262424657821619,0.1358029783378787,0.22874783244827143
18,0.1631420235355179,0.16300974108956076,0.7467024355355878,0.8285027403817518,0.13662762819514207,0.23037115968369085
19,0.16300707474931495,0.1628641499714418,0.7476109467815502,0.8282759642401183,0.13688995001232276,0.231180934170323
20,0.16259660697602607,0.16301228376952084,0.7478094183037525,0.828456613435391,0.13782253936606553,0.23188506712001786
21,0.16240477194259692,0.16280138763514432,0.7488470864414494,0.8287194452625435,0.13844535316099937,0.23045292715746024
22,0.16252847557718103,0.16287532448768616,0.7494051723742666,0.8286915397400265,0.13934864573259734,0.23081373353726722
23,0.16229735934115075,0.1628516451878981,0.7499692722932713,0.8283443982011112,0.1397665092801517,0.2307246032717259
24,0.16220483861186288,0.16324432329698044,0.7507145140831096,0.8273731209796676,0.14067207344507707,0.22813642773552859
25,0.16207080286044578,0.1630051000551744,0.7503871738427116,0.8279819929723568,0.14049549361828628,0.22913803756272053
26,0.16203007121364793,0.1624697202985937,0.7508343476569105,0.8297346710651381,0.14101087738838444,0.23461155716970025
27,0.16178643451882646,0.16253665902397849,0.7519309176850478,0.8292393590752171,0.14109527140610467,0.23216042608354054
28,0.16172236997585793,0.16256475313143295,0.75206441588816,0.8284730777062873,0.14211306921383485,0.23551806623171104
29,0.1616491201249036,0.16266955435276031,0.7525624266355158,0.8290775875037281,0.14228817773582086,0.23381539823692302
30,0.16158045867046752,0.1624931814995679,0.7527989765304104,0.8288197799569659,0.14253419223003663,0.23503775434759572
31,0.16139392961155286,0.16224692626432938,0.7533470301719755,0.8305151101264419,0.14287977892979956,0.2364161221196997
32,0.16140835258093747,0.1621034646576101,0.7532301615050202,0.8308688069388178,0.14319165133070855,0.2345457209108715
33,0.161140169029112,0.16215093027461658,0.7536138754721394,0.830698809117082,0.1442464029585881,0.23496366097698515
34,0.16125571669696212,0.16229315914890982,0.7543144546458719,0.8301106429439115,0.14386856827301317,0.23374886320180052
35,0.16107916754561585,0.1623325225981799,0.754727838250849,0.8311217633982558,0.14453326469340805,0.23461619239261627
36,0.16110975401742117,0.16245697845112195,0.7549456351886473,0.8294170084993336,0.14466898222326627,0.23543730085045694
37,0.16096192733807999,0.16187268631024795,0.7556914270950995,0.8319423996452792,0.14547241194589003,0.23689004841447828
38,0.1608385776544546,0.16264041310006921,0.7557076712070947,0.8296619846258635,0.14555793218063254,0.23275727755786105
39,0.16081435030156915,0.16203557496721094,0.755539427747693,0.8318800450971875,0.14555964251855852,0.234590117583676
40,0.16067312406255052,0.1617069203745235,0.7554619759308067,0.8322622283855189,0.14598857550247643,0.23746553149603733
41,0.16075609527625045,0.1615895520557057,0.7557526665433674,0.8321968063864562,0.14642401667362814,0.23886180979548027
42,0.16053332446457505,0.16167242418635974,0.7566466459584273,0.8321364628957095,0.14662782546289685,0.2379709562149584
