metric,resnet18_unweighted,dinov2_linear_probe,delta_dinov2_minus_resnet18
macro_roc_auc,0.8215689044538304,0.7654592146877656,-0.056109689766064785
micro_roc_auc,0.8697985616130552,0.8337241507091975,-0.03607441090385777
macro_average_precision,0.22962851078785101,0.1588235152998761,-0.07080499548797492
micro_average_precision,0.31636466183843703,0.24391623326828304,-0.07244842857015399
